49.3415997,8.4458135
49.3412499,8.4455828
49.3475760,8.4494798
49.3472964,8.4518402
49.3469609,8.4519432
49.3453325,8.4471069
49.3458412,8.4468767
49.3410765,8.4455502
49.3396124,8.4501375
49.3475922,8.4501154
49.3474120,8.4485483
49.3417467,8.4459217
49.3428491,8.4507005
49.3473977,8.4514489
49.3456472,8.4510742
49.3428453,8.4463841
49.3383608,8.4488408
49.3413374,8.4503383
49.3410539,8.4503746
49.3443737,8.4507585
49.3435789,8.4464384
49.3383479,8.4456287
49.3386272,8.4452098
49.3394701,8.4500316
49.3441888,8.4502633
49.3449613,8.4469050
49.3471647,8.4466079
49.3406625,8.4454592
49.3437125,8.4506175
49.3473504,8.4477357
49.3385510,8.4488791
49.3434648,8.4507488
49.3464259,8.4515108
49.3460997,8.4511685
49.3422670,8.4461182
49.3377596,8.4478062
49.3416194,8.4504897
49.3401737,8.4503366
49.3446053,8.4509201
49.3448144,8.4468551
49.3380173,8.4463904
49.3404151,8.4455098
49.3397061,8.4501099
49.3468924,8.4464859
49.3418551,8.4459720
49.3438823,8.4504345
49.3471937,8.4519525
49.3476020,8.4497495
49.3390010,8.4489624
49.3417543,8.4505397
49.3467447,8.4518127
49.3448003,8.4509585
49.3437262,8.4465619
49.3377456,8.4483951
49.3387617,8.4451788
49.3405516,8.4504207
49.3440446,8.4503033
49.3443741,8.4467975
49.3466090,8.4465479
49.3396476,8.4454007
49.3391585,8.4492182
49.3473841,8.4482358
49.3416624,8.4458932
49.3431834,8.4507115
49.3474866,8.4511149
49.3458492,8.4510866
49.3474626,8.4490814
49.3378115,8.4485930
49.3422958,8.4506367
49.3407394,8.4504848
49.3451562,8.4509692
49.3433503,8.4463968
49.3381671,8.4460428
49.3385149,8.4453619
49.3395307,8.4501303
49.3443734,8.4506236
49.3456160,8.4470522
49.3460494,8.4466867
49.3411777,8.4455969
49.3393803,8.4498560
49.3475604,8.4506719
49.3473173,8.4473496
49.3388204,8.4489129
49.3435525,8.4507499
49.3465759,8.4517152
49.3463048,8.4513208
49.3430499,8.4464149
49.3380770,8.4488108
49.3411642,8.4503108
49.3409582,8.4504787
49.3445833,8.4467914
49.3379039,8.4468111
49.3401675,8.4455273
49.3398578,8.4501561
49.3451183,8.4470504
49.3472385,8.4469641
49.3409174,8.4454710
49.3436548,8.4506491
49.3475166,8.4492979
49.3390977,8.4490644
49.3420311,8.4506029
49.3468267,8.4518780
49.3449734,8.4509528
49.3425175,8.4462148
49.3378036,8.4474488
49.3414844,8.4504066
49.3399618,8.4502800
49.3444302,8.4508238
49.3441626,8.4468109
49.3463328,8.4466136
49.3392721,8.4453240
49.3392609,8.4495151
49.3470848,8.4464984
49.3420118,8.4460475
49.3437571,8.4505467
49.3470892,8.4519891
49.3474373,8.4488167
49.3379323,8.4487278
49.3425629,8.4506890
49.3408598,8.4505239
49.3453848,8.4510145
49.3438999,8.4466887
49.3377254,8.4481856
49.3389856,8.4452352
49.3403590,8.4503713
49.3439588,8.4503733
49.3420585,8.4506064
49.3443637,8.4507183
49.3446466,8.4499183
49.3442232,8.4502378
49.3442477,8.4502056
49.3442730,8.4501252
49.3442809,8.4500796
49.3443001,8.4500286
49.3443097,8.4500138
49.3443307,8.4499629
49.3443368,8.4499119
49.3443385,8.4498556
49.3443543,8.4498167
49.3443726,8.4497926
49.3444137,8.4497698
49.3444373,8.4497564
49.3444565,8.4497268
49.3444731,8.4497014
49.3444940,8.4496987
49.3445211,8.4496947
49.3445395,8.4496813
49.3445587,8.4496343
49.3445823,8.4495901
49.3445963,8.4495404
49.3446146,8.4494989
49.3446408,8.4494694
49.3446679,8.4494238
49.3446959,8.4493983
49.3447212,8.4494251
49.3447448,8.4494667
49.3447509,8.4495230
49.3447509,8.4496196
49.3447509,8.4496745
49.3447404,8.4497336
49.3447238,8.4497805
49.3447064,8.4498154
49.3446828,8.4498502
49.3446513,8.4498931
49.3446408,8.4499495
49.3446356,8.4500206
49.3446181,8.4500715
49.3445963,8.4501024
49.3445543,8.4501198
49.3445334,8.4501158
49.3445211,8.4501426
49.3445133,8.4501868
49.3444879,8.4502029
49.3444574,8.4502257
49.3444486,8.4502445
49.3444259,8.4502593
49.3444032,8.4502847
49.3444067,8.4503330
49.3443988,8.4503786
49.3444023,8.4504336
49.3444023,8.4504578
49.3444006,8.4505020
49.3443944,8.4505650
49.3445080,8.4508748
49.3441201,8.4502646
49.3438134,8.4504993
49.3435845,8.4506589
49.3435539,8.4506857
